CustomerId,Surname,CreditScore,Tenure,Balance,EstimatedSalary,Exited
15634602,Hargrave,619,2,0,101349,1
15647311,Hill,608,1,83808,112543,0
15619304,Onio,502,8,159661,113932,1
15701354,Boni,699,1,0,93827,0
15737888,Mitchell,850,2,125511,79084,0
15574012,Chu,645,8,113756,149757,1
15592531,Bartlett,822,7,0,10063,0
15656148,Obinna,376,4,115047,119347,1
15792365,He,501,4,142051,74941,0
15592389,H?,684,2,134604,71726,0
15767821,Bearce,528,6,102017,80181,0
15737173,Andrews,497,3,0,76390,0
15632264,Kay,476,10,0,26261,0
15691483,Chin,549,5,0,190858,0
15600882,Scott,635,7,0,65952,0
15643966,Goforth,616,3,143129,64327,0
15737452,Romeo,653,1,132603,5098,1
15788218,Henderson,549,9,0,14406,0
15661507,Muldrow,587,6,0,158685,0
15568982,Hao,726,6,0,54724,0
15577657,McDonald,732,8,0,170886,0
15597945,Dellucci,636,8,0,138555,0
15699309,Gerasimov,510,4,0,118914,1
15725737,Mosman,669,3,0,8488,0
15625047,Yen,846,5,0,187616,0
15738191,Maclean,577,3,0,124508,0
15736816,Young,756,2,136816,170042,0
15700772,Nebechi,571,9,0,38433,0
15728693,McWilliams,574,3,141349,100187,0
15656300,Lucciano,411,0,59697,53483,0
15589475,Azikiwe,591,3,0,140469,1
15706552,Odinakachukwu,533,7,85312,156732,0
15750181,Sanderson,553,9,110113,81899,0
15659428,Maggard,520,6,0,34411,0
15732963,Clements,722,9,0,142033,0
15794171,Lombardo,475,0,134264,27823,1
15788448,Watson,490,3,145260,114067,0
15729599,Lorenzo,804,7,76549,98453,0
15717426,Armstrong,850,7,0,40813,0
15585768,Cameron,582,6,70349,178074,0
15619360,Hsiao,472,4,0,70154,0
15738148,Clarke,465,8,122522,181298,1
15687946,Osborne,556,2,117419,94154,0
15755196,Lavine,834,2,131395,194366,1
15684171,Bianchi,660,5,155931,158338,0
15754849,Tyler,776,4,109421,126517,0
15602280,Martin,829,9,112046,119708,1
15771573,Okagbue,637,9,137844,117623,1
15766205,Yin,550,2,103391,90878,0
15771873,Buccho,776,2,103769,194099,0
15616550,Chidiebele,698,10,116363,198059,0
15768193,Trevisani,585,5,146051,86425,0
15683553,O'Brien,788,5,0,116978,0
15702298,Parkhill,655,8,125562,164041,1
15569590,Yoo,601,1,98496,40015,1
15760861,Phillipps,619,1,125212,113410,0
15630053,Tsao,656,5,127864,87108,0
15647091,Endrizzi,725,0,75888,45614,0
15623944,T'ien,511,4,0,1643,1
15804771,Velazquez,614,4,40686,46775,0
15651280,Hunter,742,5,136857,84510,0
15773469,Clark,687,9,152329,126495,0
15702014,Jeffrey,555,1,56085,178798,0
15751208,Pirozzi,684,8,78707,99398,0
15592461,Jackson,603,4,109166,92841,0
15789484,Hammond,751,6,169831,27758,0
15696061,Brownless,581,1,101633,110432,0
15641582,Chibugo,735,10,123180,196673,0
15638424,Glauert,661,5,150726,113657,0
15755648,Pisano,675,8,98373,18203,0
15703793,Konovalova,738,2,133745,28374,1
15620344,McKee,813,6,0,33954,0
15812518,Palermo,657,0,163607,44204,0
15779052,Ballard,604,5,157781,58427,0
15770811,Wallace,519,9,0,145562,0
15780961,Cavenagh,735,1,178718,22388,0
15614049,Hu,664,8,0,139162,0
15662085,Read,678,9,0,148211,0
15575185,Bushell,757,5,77253,194240,0
15803136,Postle,416,10,122190,98302,0
15706021,Buley,665,1,96646,171414,0
15663706,Leonard,777,2,0,136458,1
15641732,Mills,543,3,0,26020,0
15701164,Onyeorulu,506,4,90308,159235,0
15738751,Beit,493,4,0,1908,0
15805254,Ndukaku,652,10,0,114676,0
15762418,Gant,750,3,121682,128643,1
15625759,Rowley,729,9,0,151869,0
15622897,Sharpe,646,4,0,93251,1
15767954,Osborne,635,3,81624,156791,0
15757535,Heap,647,5,0,174205,1
15731511,Ritchie,808,7,118627,147132,0
15809248,Cole,524,10,0,109615,0
15640635,Capon,769,8,0,172291,0
15676966,Capon,730,4,0,85982,0
